Team,Ranking,Sport
Antigua and Barbuda,0,Swimming
Antigua and Barbuda,0,Swimming
Antigua and Barbuda,0,Swimming
Antigua and Barbuda,0,Swimming
Argentina,5.333333333,Hockey
Argentina,2,Basketball
Argentina,1.6,Hockey
Argentina,1.2,Hockey
Argentina,1,Sailing
Argentina,1,Sailing
Argentina,1,Basketball
Argentina,1,Football
Argentina,0.625,Hockey
Argentina,0.5625,Football
Argentina,0.5,Taekwondo
Argentina,0.5,Tennis
Argentina,0.5,Hockey
Argentina,0.4,Sailing
Argentina,0.363636364,Sailing
Argentina,0.333333333,Tennis
Argentina,0.285714286,Cycling
Argentina,0.25,Sailing
Argentina,0.2,Swimming
Argentina,0.166666667,Tennis
Argentina,0.142857143,Judo
Argentina,0,Judo
Argentina,0,Judo
Argentina,0,Judo
Argentina,0,Judo
Argentina,0,Athletics
Argentina,0,Athletics
Argentina,0,Athletics
Argentina,0,Athletics
Argentina,0,Athletics
Argentina,0,Handball
Argentina,0,Handball
Argentina,0,Weightlifting
Argentina,0,Weightlifting
Argentina,0,Weightlifting
Argentina,0,Weightlifting
Argentina,0,Wrestling
Argentina,0,Wrestling
Argentina,0,Rowing
Argentina,0,Rowing
Argentina,0,Rowing
Argentina,0,Rowing
Argentina,0,Rowing
Argentina,0,Swimming
Argentina,0,Swimming
Argentina,0,Swimming
Argentina,0,Swimming
Argentina,0,Boxing
Argentina,0,Boxing
Argentina,0,Boxing
Argentina,0,Boxing
Argentina,0,Boxing
Argentina,0,Gymnastics
Argentina,0,Gymnastics
Argentina,0,Gymnastics
Argentina,0,Gymnastics
Argentina,0,Taekwondo
Argentina,0,Taekwondo
Argentina,0,Taekwondo
Argentina,0,Fencing
Argentina,0,Fencing
Argentina,0,Fencing
Argentina,0,Fencing
Argentina,0,Fencing
Argentina,0,Basketball
Argentina,0,Basketball
Argentina,0,Diving
Argentina,0,Canoeing
Argentina,0,Canoeing
Argentina,0,Canoeing
Argentina,0,Canoeing
Argentina,0,Canoeing
Argentina,0,Football
Argentina,0,Tennis
Argentina,0,Tennis
Argentina,0,Cycling
Argentina,0,Cycling
Argentina,0,Cycling
Argentina,0,Cycling
Argentina,0,Equestrianism
Argentina,0,Equestrianism
Argentina,0,Equestrianism
Argentina,0,Equestrianism
Argentina,0,Equestrianism
Argentina,0,Volleyball
Argentina,0,Volleyball
Argentina,0,Volleyball
Argentina,0,Volleyball
Argentina,0,Synchronized Swimming
Argentina,0,Synchronized Swimming
Argentina,0,Shooting
Argentina,0,Shooting
Argentina,0,Shooting
Argentina,0,Shooting
Argentina,0,Shooting
Argentina,0,Modern Pentathlon
Argentina,0,Table Tennis
Argentina,0,Table Tennis
Argentina,0,Table Tennis
Argentina,0,Table Tennis
Argentina,0,Rugby Sevens
Argentina,0,Beach Volleyball
Argentina,0,Beach Volleyball
Argentina,0,Beach Volleyball
Argentina,0,Beach Volleyball
Argentina,0,Beach Volleyball
Argentina,0,Triathlon
Argentina,0,Triathlon
Argentina,0,Triathlon
Argentina,0,Triathlon
Argentina,0,Golf
Armenia,1,Weightlifting
Armenia,0.5,Wrestling
Armenia,0.4,Wrestling
Armenia,0.333333333,Weightlifting
Armenia,0.333333333,Boxing
Armenia,0.285714286,Weightlifting
Armenia,0.285714286,Wrestling
Armenia,0.25,Weightlifting
Armenia,0,Judo
Armenia,0,Judo
Armenia,0,Judo
Armenia,0,Judo
Armenia,0,Judo
Armenia,0,Athletics
Armenia,0,Athletics
Armenia,0,Athletics
Armenia,0,Athletics
Armenia,0,Athletics
Armenia,0,Weightlifting
Armenia,0,Wrestling
Armenia,0,Wrestling
Armenia,0,Swimming
Armenia,0,Swimming
Armenia,0,Swimming
Armenia,0,Swimming
Armenia,0,Swimming
Armenia,0,Boxing
Armenia,0,Boxing
Armenia,0,Boxing
Armenia,0,Boxing
Armenia,0,Gymnastics
Armenia,0,Gymnastics
Armenia,0,Taekwondo
Armenia,0,Diving
Armenia,0,Canoeing
Armenia,0,Tennis
Armenia,0,Tennis
Armenia,0,Shooting
Armenia,0,Shooting
Armenia,0,Shooting
Armenia,0,Shooting
Armenia,0,Shooting
Aruba,0,Judo
Aruba,0,Judo
Aruba,0,Judo
Aruba,0,Judo
Aruba,0,Sailing
Aruba,0,Athletics
Aruba,0,Athletics
Aruba,0,Weightlifting
Aruba,0,Weightlifting
Aruba,0,Swimming
Aruba,0,Swimming
Aruba,0,Swimming
Aruba,0,Swimming
Aruba,0,Swimming
Aruba,0,Taekwondo
Australia,5,Softball
Australia,3,Diving
Australia,2.461538462,Swimming
Australia,2.4,Basketball
Australia,2.166666667,Water Polo
Australia,2,Swimming
Australia,1.875,Softball
Australia,1.714285714,Basketball
Australia,1.545454545,Hockey
Australia,1.347826087,Swimming
Australia,1.333333333,Sailing
Australia,1.333333333,Baseball
Australia,1.069767442,Swimming
Australia,1.055555556,Rowing
Australia,1,Tennis
Australia,1,Cycling
Australia,1,Hockey
Australia,1,Softball
Australia,0.941176471,Swimming
Australia,0.888888889,Canoeing
Australia,0.875,Sailing
Australia,0.8,Rowing
Australia,0.764705882,Water Polo
Australia,0.75,Diving
Australia,0.75,Archery
Australia,0.727272727,Hockey
Australia,0.708333333,Cycling
Australia,0.666666667,Diving
Australia,0.666666667,Triathlon
Australia,0.625,Equestrianism
Australia,0.625,Equestrianism
Australia,0.571428571,Basketball
Australia,0.571428571,Hockey
Australia,0.529411765,Cycling
Australia,0.5,Basketball
Australia,0.5,Water Polo
Australia,0.5,Modern Pentathlon
Australia,0.5,Trampolining
Australia,0.5,Triathlon
Australia,0.48,Rugby Sevens
Australia,0.466666667,Rowing
Australia,0.428571429,Sailing
Australia,0.388888889,Sailing
Australia,0.384615385,Canoeing
Australia,0.375,Athletics
Australia,0.371428571,Rowing
Australia,0.363636364,Athletics
Australia,0.333333333,Canoeing
Australia,0.333333333,Equestrianism
Australia,0.310344828,Rowing
Australia,0.25,Taekwondo
Australia,0.25,Diving
Australia,0.25,Archery
Australia,0.25,Shooting
Australia,0.25,Beach Volleyball
Australia,0.25,Triathlon
Australia,0.222222222,Diving
Australia,0.2,Tennis
Australia,0.2,Cycling
Australia,0.2,Archery
Australia,0.1875,Canoeing
Australia,0.176470588,Canoeing
Australia,0.166666667,Triathlon
Australia,0.130434783,Shooting
Australia,0.111111111,Judo
Australia,0.1,Shooting
Australia,0.090909091,Cycling
Australia,0.071428571,Shooting
Australia,0.063829787,Athletics
Australia,0.055555556,Athletics
Australia,0.036585366,Athletics
Australia,0,Judo
Australia,0,Judo
Australia,0,Judo
Australia,0,Judo
Australia,0,Badminton
Australia,0,Badminton
Australia,0,Badminton
Australia,0,Badminton
Australia,0,Badminton
Australia,0,Sailing
Australia,0,Handball
Australia,0,Weightlifting
Australia,0,Weightlifting
Australia,0,Weightlifting
Australia,0,Weightlifting
Australia,0,Weightlifting
Australia,0,Wrestling
Australia,0,Wrestling
Australia,0,Wrestling
Australia,0,Wrestling
Australia,0,Wrestling
Australia,0,Boxing
Australia,0,Boxing
Australia,0,Boxing
Australia,0,Boxing
Australia,0,Boxing
Australia,0,Gymnastics
Australia,0,Gymnastics
Australia,0,Gymnastics
Australia,0,Gymnastics
Australia,0,Gymnastics
Australia,0,Taekwondo
Australia,0,Taekwondo
Australia,0,Taekwondo
Australia,0,Taekwondo
Australia,0,Fencing
Australia,0,Fencing
Australia,0,Fencing
Australia,0,Basketball
Australia,0,Football
Australia,0,Football
Australia,0,Football
Australia,0,Football
Australia,0,Tennis
Australia,0,Tennis
Australia,0,Tennis
Australia,0,Hockey
Australia,0,Water Polo
Australia,0,Water Polo
Australia,0,Equestrianism
Australia,0,Equestrianism
Australia,0,Archery
Australia,0,Archery
Australia,0,Volleyball
Australia,0,Volleyball
Australia,0,Volleyball
Australia,0,Synchronized Swimming
Australia,0,Synchronized Swimming
Australia,0,Synchronized Swimming
Australia,0,Synchronized Swimming
Australia,0,Synchronized Swimming
Australia,0,Shooting
Australia,0,Modern Pentathlon
Australia,0,Modern Pentathlon
Australia,0,Modern Pentathlon
Australia,0,Modern Pentathlon
Australia,0,Table Tennis
Australia,0,Table Tennis
Australia,0,Table Tennis
Australia,0,Table Tennis
Australia,0,Table Tennis
Australia,0,Baseball
Australia,0,Rhythmic Gymnastics
Australia,0,Rhythmic Gymnastics
Australia,0,Rhythmic Gymnastics
Australia,0,Rhythmic Gymnastics
Australia,0,Rhythmic Gymnastics
Australia,0,Trampolining
Australia,0,Trampolining
Australia,0,Trampolining
Australia,0,Trampolining
Australia,0,Beach Volleyball
Australia,0,Beach Volleyball
Australia,0,Beach Volleyball
Australia,0,Beach Volleyball
Australia,0,Triathlon
Australia,0,Golf
Austria,3,Sailing
Austria,1,Judo
Austria,1,Sailing
Austria,1,Swimming
Austria,1,Triathlon
Austria,0.6,Sailing
Austria,0.5,Canoeing
Austria,0.125,Swimming
Austria,0.083333333,Athletics
Austria,0,Judo
Austria,0,Judo
Austria,0,Judo
Austria,0,Judo
Austria,0,Badminton
Austria,0,Badminton
Austria,0,Sailing
Austria,0,Sailing
Austria,0,Athletics
Austria,0,Athletics
Austria,0,Athletics
Austria,0,Athletics
Austria,0,Handball
Austria,0,Weightlifting
Austria,0,Weightlifting
Austria,0,Wrestling
Austria,0,Wrestling
Austria,0,Wrestling
Austria,0,Rowing
Austria,0,Rowing
Austria,0,Rowing
Austria,0,Swimming
Austria,0,Swimming
Austria,0,Swimming
Austria,0,Gymnastics
Austria,0,Gymnastics
Austria,0,Taekwondo
Austria,0,Taekwondo
Austria,0,Fencing
Austria,0,Fencing
Austria,0,Fencing
Austria,0,Fencing
Austria,0,Fencing
Austria,0,Diving
Austria,0,Diving
Austria,0,Diving
Austria,0,Diving
Austria,0,Canoeing
Austria,0,Canoeing
Austria,0,Canoeing
Austria,0,Canoeing
Austria,0,Tennis
Austria,0,Tennis
Austria,0,Tennis
Austria,0,Tennis
Austria,0,Tennis
Austria,0,Cycling
Austria,0,Cycling
Austria,0,Cycling
Austria,0,Cycling
Austria,0,Cycling
Austria,0,Equestrianism
Austria,0,Equestrianism
Austria,0,Equestrianism
Austria,0,Equestrianism
Austria,0,Equestrianism
Austria,0,Archery
Austria,0,Synchronized Swimming
Austria,0,Synchronized Swimming
Austria,0,Synchronized Swimming
Austria,0,Shooting
Austria,0,Shooting
Austria,0,Shooting
Austria,0,Shooting
Austria,0,Shooting
Austria,0,Modern Pentathlon
Austria,0,Table Tennis
Austria,0,Table Tennis
Austria,0,Table Tennis
Austria,0,Table Tennis
Austria,0,Table Tennis
Austria,0,Rhythmic Gymnastics
Austria,0,Rhythmic Gymnastics
Austria,0,Rhythmic Gymnastics
Austria,0,Beach Volleyball
Austria,0,Beach Volleyball
Austria,0,Beach Volleyball
Austria,0,Beach Volleyball
Austria,0,Beach Volleyball
Austria,0,Triathlon
Austria,0,Triathlon
Austria,0,Triathlon
Austria,0,Triathlon
Austria,0,Golf
Azerbaijan,2.25,Wrestling
Azerbaijan,2,Canoeing
Azerbaijan,1,Boxing
Azerbaijan,0.75,Taekwondo
Azerbaijan,0.666666667,Judo
Azerbaijan,0.538461538,Wrestling
Azerbaijan,0.5,Judo
Azerbaijan,0.5,Shooting
Azerbaijan,0.4,Wrestling
Azerbaijan,0.4,Boxing
Azerbaijan,0.25,Boxing
Azerbaijan,0.25,Boxing
Azerbaijan,0.2,Weightlifting
Azerbaijan,0.2,Boxing
Azerbaijan,0.166666667,Wrestling
Azerbaijan,0.111111111,Wrestling
Azerbaijan,0,Judo
Azerbaijan,0,Judo
Azerbaijan,0,Judo
Azerbaijan,0,Athletics
Azerbaijan,0,Athletics
Azerbaijan,0,Athletics
Azerbaijan,0,Athletics
Azerbaijan,0,Athletics
Azerbaijan,0,Weightlifting
Azerbaijan,0,Weightlifting
Azerbaijan,0,Weightlifting
Azerbaijan,0,Rowing
Azerbaijan,0,Rowing
Azerbaijan,0,Swimming
Azerbaijan,0,Swimming
Azerbaijan,0,Swimming
Azerbaijan,0,Swimming
Azerbaijan,0,Swimming
Azerbaijan,0,Gymnastics
Azerbaijan,0,Gymnastics
Azerbaijan,0,Taekwondo
Azerbaijan,0,Taekwondo
Azerbaijan,0,Taekwondo
Azerbaijan,0,Fencing
Azerbaijan,0,Fencing
Azerbaijan,0,Fencing
Azerbaijan,0,Diving
Azerbaijan,0,Canoeing
Azerbaijan,0,Cycling
Azerbaijan,0,Cycling
Azerbaijan,0,Equestrianism
Azerbaijan,0,Equestrianism
Azerbaijan,0,Archery
Azerbaijan,0,Shooting
Azerbaijan,0,Shooting
Azerbaijan,0,Shooting
Azerbaijan,0,Shooting
Azerbaijan,0,Rhythmic Gymnastics
Azerbaijan,0,Rhythmic Gymnastics
Azerbaijan,0,Rhythmic Gymnastics
Azerbaijan,0,Rhythmic Gymnastics
Azerbaijan,0,Triathlon
Bahamas,3.5,Athletics
Bahamas,0.578947368,Athletics
Bahamas,0.461538462,Athletics
Bahamas,0.285714286,Athletics
Bahamas,0.25,Athletics
Bahamas,0,Rowing
Bahamas,0,Swimming
Bahamas,0,Swimming
Bahamas,0,Swimming
Bahamas,0,Swimming
Bahamas,0,Swimming
Bahamas,0,Boxing
Bahamas,0,Tennis
Bahamas,0,Tennis
Bahamas,0,Tennis
Bahrain,0.111111111,Athletics
Bahrain,0.074074074,Athletics
Bahrain,0,Sailing
Bahrain,0,Athletics
Bahrain,0,Athletics
Bahrain,0,Athletics
Bahrain,0,Wrestling
Bahrain,0,Swimming
Bahrain,0,Swimming
Bahrain,0,Swimming
Bahrain,0,Swimming
Bahrain,0,Swimming
Bahrain,0,Shooting
Bahrain,0,Shooting
Bahrain,0,Shooting
Bahrain,0,Shooting
Bangladesh,0,Athletics
Bangladesh,0,Athletics
Bangladesh,0,Athletics
Bangladesh,0,Athletics
Bangladesh,0,Athletics
Bangladesh,0,Swimming
Bangladesh,0,Swimming
Bangladesh,0,Swimming
Bangladesh,0,Swimming
Bangladesh,0,Swimming
Bangladesh,0,Gymnastics
Bangladesh,0,Archery
Bangladesh,0,Archery
Bangladesh,0,Shooting
Bangladesh,0,Shooting
Bangladesh,0,Shooting
Bangladesh,0,Shooting
Bangladesh,0,Shooting
Bangladesh,0,Golf
Barbados,0.090909091,Athletics
Barbados,0,Judo
Barbados,0,Judo
Barbados,0,Judo
Barbados,0,Sailing
Barbados,0,Sailing
Barbados,0,Athletics
Barbados,0,Athletics
Barbados,0,Athletics
Barbados,0,Athletics
Barbados,0,Swimming
Barbados,0,Swimming
Barbados,0,Swimming
Barbados,0,Swimming
Barbados,0,Swimming
Barbados,0,Boxing
Barbados,0,Tennis
Barbados,0,Cycling
Barbados,0,Shooting
Barbados,0,Shooting
Barbados,0,Shooting
Barbados,0,Triathlon
Belarus,3.5,Rhythmic Gymnastics
Belarus,2.666666667,Canoeing
Belarus,1.142857143,Canoeing
Belarus,1,Weightlifting
Belarus,1,Shooting
Belarus,0.875,Rhythmic Gymnastics
Belarus,0.875,Rhythmic Gymnastics
Belarus,0.75,Weightlifting
Belarus,0.75,Rowing
Belarus,0.666666667,Swimming
Belarus,0.5,Athletics
Belarus,0.5,Wrestling
Belarus,0.5,Rowing
Belarus,0.5,Shooting
Belarus,0.5,Modern Pentathlon
Belarus,0.4,Boxing
Belarus,0.375,Weightlifting
Belarus,0.333333333,Judo
Belarus,0.333333333,Weightlifting
Belarus,0.333333333,Shooting
Belarus,0.333333333,Trampolining
Belarus,0.285714286,Wrestling
Belarus,0.25,Judo
Belarus,0.25,Weightlifting
Belarus,0.25,Swimming
Belarus,0.222222222,Canoeing
Belarus,0.166666667,Wrestling
Belarus,0.166666667,Cycling
Belarus,0.161290323,Athletics
Belarus,0.1,Rowing
Belarus,0.071428571,Wrestling
Belarus,0.05,Athletics
Belarus,0.043478261,Athletics
Belarus,0,Judo
Belarus,0,Judo
Belarus,0,Judo
Belarus,0,Badminton
Belarus,0,Badminton
Belarus,0,Sailing
Belarus,0,Sailing
Belarus,0,Sailing
Belarus,0,Sailing
Belarus,0,Sailing
Belarus,0,Athletics
Belarus,0,Wrestling
Belarus,0,Rowing
Belarus,0,Rowing
Belarus,0,Swimming
Belarus,0,Swimming
Belarus,0,Swimming
Belarus,0,Boxing
Belarus,0,Boxing
Belarus,0,Boxing
Belarus,0,Boxing
Belarus,0,Gymnastics
Belarus,0,Gymnastics
Belarus,0,Gymnastics
Belarus,0,Gymnastics
Belarus,0,Gymnastics
Belarus,0,Fencing
Belarus,0,Fencing
Belarus,0,Fencing
Belarus,0,Fencing
Belarus,0,Fencing
Belarus,0,Basketball
Belarus,0,Basketball
Belarus,0,Diving
Belarus,0,Diving
Belarus,0,Diving
Belarus,0,Diving
Belarus,0,Diving
Belarus,0,Canoeing
Belarus,0,Canoeing
Belarus,0,Football
Belarus,0,Tennis
Belarus,0,Tennis
Belarus,0,Tennis
Belarus,0,Tennis
Belarus,0,Tennis
Belarus,0,Cycling
Belarus,0,Cycling
Belarus,0,Cycling
Belarus,0,Equestrianism
Belarus,0,Equestrianism
Belarus,0,Equestrianism
Belarus,0,Archery
Belarus,0,Archery
Belarus,0,Archery
Belarus,0,Archery
Belarus,0,Archery
Belarus,0,Synchronized Swimming
Belarus,0,Synchronized Swimming
Belarus,0,Synchronized Swimming
Belarus,0,Synchronized Swimming
Belarus,0,Shooting
Belarus,0,Shooting
Belarus,0,Modern Pentathlon
Belarus,0,Modern Pentathlon
Belarus,0,Modern Pentathlon
Belarus,0,Modern Pentathlon
Belarus,0,Table Tennis
Belarus,0,Table Tennis
Belarus,0,Table Tennis
Belarus,0,Table Tennis
Belarus,0,Table Tennis
Belarus,0,Rhythmic Gymnastics
Belarus,0,Rhythmic Gymnastics
Belarus,0,Trampolining
Belarus,0,Trampolining
Belarus,0,Trampolining
Belarus,0,Trampolining
Belgium,2.666666667,Hockey
Belgium,1,Judo
Belgium,1,Sailing
Belgium,1,Shooting
Belgium,0.666666667,Tennis
Belgium,0.625,Athletics
Belgium,0.5,Judo
Belgium,0.375,Cycling
Belgium,0.333333333,Tennis
Belgium,0.25,Judo
Belgium,0.2,Judo
Belgium,0.153846154,Cycling
Belgium,0.125,Swimming
Belgium,0.111111111,Cycling
Belgium,0.058823529,Athletics
Belgium,0,Judo
Belgium,0,Badminton
Belgium,0,Badminton
Belgium,0,Badminton
Belgium,0,Sailing
Belgium,0,Sailing
Belgium,0,Sailing
Belgium,0,Sailing
Belgium,0,Athletics
Belgium,0,Athletics
Belgium,0,Athletics
Belgium,0,Weightlifting
Belgium,0,Weightlifting
Belgium,0,Weightlifting
Belgium,0,Weightlifting
Belgium,0,Rowing
Belgium,0,Rowing
Belgium,0,Rowing
Belgium,0,Rowing
Belgium,0,Rowing
Belgium,0,Swimming
Belgium,0,Swimming
Belgium,0,Swimming
Belgium,0,Gymnastics
Belgium,0,Gymnastics
Belgium,0,Gymnastics
Belgium,0,Gymnastics
Belgium,0,Gymnastics
Belgium,0,Taekwondo
Belgium,0,Taekwondo
Belgium,0,Fencing
Belgium,0,Fencing
Belgium,0,Canoeing
Belgium,0,Canoeing
Belgium,0,Canoeing
Belgium,0,Canoeing
Belgium,0,Canoeing
Belgium,0,Football
Belgium,0,Tennis
Belgium,0,Tennis
Belgium,0,Tennis
Belgium,0,Cycling
Belgium,0,Cycling
Belgium,0,Hockey
Belgium,0,Hockey
Belgium,0,Equestrianism
Belgium,0,Equestrianism
Belgium,0,Equestrianism
Belgium,0,Equestrianism
Belgium,0,Equestrianism
Belgium,0,Archery
Belgium,0,Archery
Belgium,0,Shooting
Belgium,0,Shooting
Belgium,0,Shooting
Belgium,0,Table Tennis
Belgium,0,Table Tennis
Belgium,0,Table Tennis
Belgium,0,Table Tennis
Belgium,0,Beach Volleyball
Belgium,0,Triathlon
Belgium,0,Triathlon
Belgium,0,Triathlon
Belgium,0,Triathlon
Belgium,0,Triathlon
Belgium,0,Golf
Belize,0,Judo
Belize,0,Judo
Belize,0,Athletics
Belize,0,Athletics
Belize,0,Athletics
Belize,0,Athletics
Belize,0,Athletics
Belize,0,Taekwondo
Benin,0,Judo
Benin,0,Judo
Benin,0,Athletics
Benin,0,Athletics
Benin,0,Athletics
Benin,0,Athletics
Benin,0,Athletics
Benin,0,Swimming
Benin,0,Swimming
Benin,0,Swimming
Benin,0,Swimming
Benin,0,Boxing
Benin,0,Taekwondo
Benin,0,Taekwondo
Benin,0,Fencing
Benin,0,Tennis
Bermuda,0,Sailing
Bermuda,0,Sailing
Bermuda,0,Sailing
Bermuda,0,Sailing
Bermuda,0,Athletics
Bermuda,0,Athletics
Bermuda,0,Athletics
Bermuda,0,Athletics
Bermuda,0,Athletics
Bermuda,0,Rowing
Bermuda,0,Swimming
Bermuda,0,Swimming
Bermuda,0,Swimming
Bermuda,0,Swimming
Bermuda,0,Swimming
Bermuda,0,Diving
Bermuda,0,Equestrianism
Bermuda,0,Equestrianism
Bermuda,0,Equestrianism
Bermuda,0,Equestrianism
Bermuda,0,Triathlon
Bermuda,0,Triathlon
Bermuda,0,Triathlon
Bermuda,0,Triathlon
Bhutan,0,Archery
Bhutan,0,Archery
Bhutan,0,Archery
Bhutan,0,Archery
Bhutan,0,Archery
Bhutan,0,Shooting
Bhutan,0,Shooting
Bolivia,0,Judo
Bolivia,0,Judo
Bolivia,0,Athletics
Bolivia,0,Athletics
Bolivia,0,Athletics
Bolivia,0,Athletics
Bolivia,0,Athletics
Bolivia,0,Weightlifting
Bolivia,0,Swimming
Bolivia,0,Swimming
Bolivia,0,Swimming
Bolivia,0,Swimming
Bolivia,0,Swimming
Bolivia,0,Gymnastics
Bolivia,0,Tennis
Bolivia,0,Cycling
Bolivia,0,Cycling
Bolivia,0,Shooting
Bolivia,0,Shooting
Bolivia,0,Shooting
Bolivia,0,Shooting
Bosnia and Herzegovina,0,Judo
Bosnia and Herzegovina,0,Judo
Bosnia and Herzegovina,0,Judo
Bosnia and Herzegovina,0,Judo
Bosnia and Herzegovina,0,Judo
Bosnia and Herzegovina,0,Athletics
Bosnia and Herzegovina,0,Athletics
Bosnia and Herzegovina,0,Athletics
Bosnia and Herzegovina,0,Athletics
Bosnia and Herzegovina,0,Athletics
Bosnia and Herzegovina,0,Swimming
Bosnia and Herzegovina,0,Swimming
Bosnia and Herzegovina,0,Swimming
Bosnia and Herzegovina,0,Swimming
Bosnia and Herzegovina,0,Swimming
Bosnia and Herzegovina,0,Taekwondo
Bosnia and Herzegovina,0,Canoeing
Bosnia and Herzegovina,0,Tennis
Bosnia and Herzegovina,0,Tennis
Bosnia and Herzegovina,0,Shooting
Bosnia and Herzegovina,0,Shooting
Bosnia and Herzegovina,0,Shooting
Bosnia and Herzegovina,0,Shooting
Bosnia and Herzegovina,0,Shooting
Bosnia and Herzegovina,0,Table Tennis
Botswana,0.333333333,Athletics
Botswana,0,Judo
Botswana,0,Athletics
Botswana,0,Athletics
Botswana,0,Athletics
Botswana,0,Athletics
Botswana,0,Swimming
Botswana,0,Swimming
Botswana,0,Boxing
Botswana,0,Boxing
Botswana,0,Boxing
Botswana,0,Boxing
Brazil,4,Volleyball
Brazil,4,Volleyball
Brazil,4,Beach Volleyball
Brazil,2.428571429,Football
Brazil,1.52173913,Football
Brazil,1.333333333,Basketball
Brazil,1.333333333,Beach Volleyball
Brazil,1.125,Football
Brazil,1,Sailing
Brazil,1,Swimming
Brazil,1,Volleyball
Brazil,1,Beach Volleyball
Brazil,0.75,Judo
Brazil,0.705882353,Volleyball
Brazil,0.666666667,Volleyball
Brazil,0.666666667,Beach Volleyball
Brazil,0.6,Sailing
Brazil,0.586206897,Football
Brazil,0.571428571,Equestrianism
Brazil,0.5,Judo
Brazil,0.5,Sailing
Brazil,0.5,Gymnastics
Brazil,0.5,Beach Volleyball
Brazil,0.375,Judo
Brazil,0.363636364,Swimming
Brazil,0.363636364,Canoeing
